in: U-value (wall),in: Fin Depth,in: Distance btw fins,in: Shading type,in: Orientation,in: Orientation angle,in: g-value,in: Transmittance,in: U-value (window),in: Glazing ratio,in: Window height,in: Sill height,out: Cooling (kWh/m2.year),out: Heating (kWh/m2.year),out: Lighting (kWh/m2.year),out: Total (kWh/m2.year),out: Dissatisfied (% users),out: Cooling Load (W/m2),out: Heating Load (W/m2)
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.4,3,0,4.641177,45.393634,6.1949,95.345945,27.69747,94.893887,38.127562
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.6,3,0,5.231653,34.998603,4.93695,84.325089,26.12705,94.422503,31.884501
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.8,3,0,5.447264,25.384709,4.0795,73.938784,23.910125,87.70163,25.163506
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,3,0,6.033162,25.972276,4.7324,76.059821,24.90533,91.719812,26.610053
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,3,0,7.44159,23.947852,3.7527,75.333499,27.090401,107.401659,26.24675
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,3,0,8.793875,22.254913,3.6717,75.719217,29.187364,122.116777,25.766809
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,3,0,5.475284,26.721309,4.97965,76.102518,24.287726,82.598066,26.396924
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,3,0,6.82545,24.672318,4.0543,75.395926,26.13489,102.521658,26.029695
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,3,0,7.715702,23.173812,3.65195,74.925416,27.371274,111.307422,25.492822
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,3,0,5.001542,27.39158,5.10715,76.184008,23.809799,80.125737,26.235355
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,3,0,6.21419,25.416791,4.00585,75.134468,25.3191,96.866289,25.865723
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,3,0,6.858794,23.803971,3.8759,74.399774,25.8676,102.245174,25.284589
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,3,0,5.270952,27.129022,5.4245,76.594857,24.13205,78.880278,26.610053
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,3,0,6.222111,25.2496,4.07825,74.982336,25.294221,94.773842,26.24675
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,3,0,7.081591,23.886837,3.4888,74.405763,26.525068,102.53835,25.766809
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,3,0,4.807287,27.704221,5.5774,76.532337,23.78907,73.547609,26.396924
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,3,0,5.691994,26.069204,4.008,74.902146,24.716796,89.426327,26.029695
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,3,0,6.265892,24.558897,3.7554,74.026246,25.218112,93.574287,25.492822
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,3,0,4.488385,28.395029,5.73205,76.954826,23.561049,72.637686,26.235355
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,3,0,5.273458,26.776809,4.4579,75.379412,24.254551,84.136046,25.865723
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,3,0,5.614918,25.38169,3.8674,73.902404,24.309245,85.931273,25.284589
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,3,0,4.808833,27.866951,5.6349,76.777133,23.944458,73.220617,26.610053
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,3,0,5.51755,26.358509,4.1785,75.021601,24.658829,84.245672,26.24675
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,3,0,6.205183,24.919398,3.8555,74.375257,25.375421,92.691865,25.766809
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,3,0,4.451352,28.507269,5.80405,76.999948,23.739842,69.161383,26.396924
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,3,0,5.187864,27.017376,4.77005,75.787071,24.24448,82.976269,26.029695
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,3,0,5.501577,25.845326,3.86005,74.170736,24.433775,85.011867,25.492822
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,3,0,4.214176,29.088236,6.1949,77.660932,23.642889,69.008605,26.235355
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,3,0,4.787455,27.676562,4.93695,75.923699,23.941784,78.552422,25.865723
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,3,0,4.938874,26.4792,4.0795,74.16809,23.830136,80.478448,25.284589
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.4,3,0,6.509452,22.237776,4.7324,72.953619,24.357566,92.646932,24.095519
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.6,3,0,8.284004,18.690622,3.7527,71.161233,26.815314,109.195519,22.456874
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.8,3,0,10.110853,15.648567,3.6717,70.897513,29.200925,124.877331,20.707437
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.4,3,0,5.906735,22.889548,4.97965,72.807319,23.569707,83.367259,23.914762
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.6,3,0,7.643799,19.337595,4.0543,71.134669,25.658492,104.1453,22.287702
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.8,3,0,8.926898,16.42176,3.65195,69.794876,27.081726,113.699404,20.500614
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.4,3,0,5.418992,23.518368,5.10715,72.865919,22.939937,80.762414,23.78003
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.6,3,0,6.981685,20.007554,4.00585,70.773689,24.613859,98.265477,22.15909
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.8,3,0,7.975055,16.948087,3.8759,69.034706,25.230762,104.363536,20.346788
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.4,3,0,6.056059,22.820728,5.4245,73.410023,23.76052,84.250593,24.095519
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.6,3,0,7.55306,19.357374,4.07825,71.030833,25.565588,102.36182,22.456874
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.8,3,0,9.01146,16.455218,3.4888,69.759415,27.431235,113.084159,20.707437
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.4,3,0,5.505324,23.391381,5.5774,73.263945,23.148865,78.069868,23.914762
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.6,3,0,6.886494,20.118937,4.008,70.72285,24.567733,96.596167,22.287702
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.8,3,0,7.977043,17.120705,3.7554,69.073367,25.477775,103.492107,20.500614
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.4,3,0,5.133532,24.081469,5.73205,73.587979,22.697954,76.714185,23.78003
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.6,3,0,6.349424,20.759706,4.4579,70.92265,23.706445,90.745102,22.15909
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.8,3,0,7.138505,17.804825,3.8674,68.547672,23.907839,95.040385,20.346788
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.4,3,0,5.210563,23.854211,5.6349,73.303011,22.961876,73.42183,24.095519
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.6,3,0,6.171836,20.699239,4.1785,70.20043,23.59159,84.7383,22.456874
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.8,3,0,7.23422,17.791124,3.8555,68.600262,24.360528,93.607982,20.707437
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.4,3,0,4.819051,24.445823,5.80405,73.421711,22.643363,69.242291,23.914762
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.6,3,0,5.83471,21.288367,4.77005,70.890985,22.973243,83.375672,22.287702
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.8,3,0,6.444558,18.504845,3.86005,68.112832,22.997138,85.742419,20.500614
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.4,3,0,4.567257,24.988107,6.1949,74.00864,22.444689,69.043731,23.78003
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.6,3,0,5.403255,21.8669,4.93695,70.963113,22.469988,78.860885,22.15909
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.8,3,0,5.837363,19.008675,4.0795,67.895721,22.011817,81.043651,20.346788
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0.7,6.265804,45.653515,4.93575,97.043898,29.513333,116.015538,41.318
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0.7,7.401182,36.648188,3.59265,88.346523,29.80653,125.458295,36.208045
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0.7,8.778305,28.396197,3.2828,81.801666,30.488255,132.352213,30.833492
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0.7,5.86097,46.28474,5.9539,98.066904,28.955609,113.345115,41.092865
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0.7,6.737707,37.599909,3.93105,88.53576,28.819838,116.491125,35.997104
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0.7,7.720504,29.398501,3.47735,81.265099,28.838537,120.70953,30.569037
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0.7,5.45326,47.132947,5.93295,98.290923,28.618458,108.612332,40.91339
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0.7,6.163103,38.383496,4.0075,88.477528,28.088081,110.520407,35.815737
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0.7,6.879231,30.210508,3.53175,80.767498,27.622478,111.327693,30.347297
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0.7,5.660185,46.801287,6.02395,98.230283,28.895881,106.669469,41.318
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0.7,6.276704,38.342253,3.8413,88.407181,28.416684,110.050379,36.208045
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0.7,7.119314,29.983994,3.68485,81.010259,28.205595,112.199801,30.833492
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0.7,5.282964,47.528495,6.26385,98.624118,28.580046,101.714818,41.092865
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0.7,5.779673,39.09505,4.1886,88.716883,27.781462,103.75634,35.997104
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0.7,6.328038,31.179767,3.5429,80.795834,27.05095,103.644239,30.569037
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0.7,4.964473,48.233704,6.18505,98.813498,28.380293,101.221861,40.91339
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0.7,5.330437,39.81895,4.15925,88.682391,27.343114,99.364867,35.815737
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0.7,5.695954,31.741495,3.7365,80.54315,26.197796,96.016187,30.347297
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0.7,5.341204,47.661446,6.0901,98.651897,28.75869,102.224451,41.318
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0.7,5.76668,39.556582,3.9855,88.94282,27.92769,105.509598,36.208045
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0.7,6.294976,31.391357,3.66825,81.047313,27.198705,102.722592,30.833492
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0.7,4.988726,48.453558,6.1037,98.975089,28.525428,101.708774,41.092865
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0.7,5.324665,40.294886,4.4332,89.425197,27.47299,99.556238,35.997104
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0.7,5.622218,32.27714,3.7574,80.98429,26.326587,95.397233,30.569037
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0.7,4.705991,49.065414,6.36185,99.412339,28.384925,97.946532,40.91339
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0.7,4.982476,40.9127,4.68905,89.772616,27.168232,95.457246,35.815737
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0.7,5.10846,32.910704,4.08415,81.095121,25.743327,89.009306,30.347297
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.4,1.5,0.7,6.593382,41.485311,4.93575,93.311246,29.144671,116.830974,38.887355
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.6,1.5,0.7,8.063258,30.761681,3.59265,83.3664,29.609557,127.030889,32.508754
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.8,1.5,0.7,9.944702,21.402163,3.2828,76.338112,30.591472,134.994568,25.843016
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.4,1.5,0.7,6.161322,42.11597,5.9539,94.303319,28.49709,114.020331,38.693237
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.6,1.5,0.7,7.332884,31.642324,3.93105,83.363366,28.434476,117.845028,32.346269
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.8,1.5,0.7,8.782184,22.249038,3.47735,75.536755,28.666228,122.984802,25.644849
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.4,1.5,0.7,5.732508,42.930936,5.93295,94.407002,28.074228,109.223177,38.53796
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.6,1.5,0.7,6.712583,32.365581,4.0075,83.175905,27.535745,111.673548,32.202949
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.8,1.5,0.7,7.842209,22.962718,3.53175,74.820447,27.204094,113.379408,25.47612
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0.7,6.273775,42.035016,6.02395,94.373122,28.737776,111.432278,38.887355
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0.7,7.372308,31.631109,3.8413,83.312765,28.676257,117.390088,32.508754
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0.7,8.892124,22.082208,3.68485,75.723406,29.173777,122.494608,25.843016
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0.7,5.815847,42.838965,6.26385,94.678281,28.228511,106.102685,38.693237
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0.7,6.738495,32.448407,4.1886,83.469075,27.687142,110.672636,32.346269
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0.7,7.878192,23.152448,3.5429,75.093645,27.45561,113.323663,25.644849
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0.7,5.461913,43.60352,6.18505,94.878029,27.909692,105.313555,38.53796
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0.7,6.192018,33.189437,4.15925,83.309349,26.95682,105.704774,32.202949
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0.7,7.08831,23.628852,3.7365,74.49042,26.031671,105.145793,25.47612
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0.7,5.596608,43.377089,6.0901,94.640804,28.154827,102.315802,38.887355
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0.7,6.2582,33.376376,3.9855,83.387162,27.179146,106.008227,32.508754
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0.7,7.167367,23.723762,3.66825,74.573059,26.452198,103.644486,25.843016
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0.7,5.22992,44.167038,6.1037,94.954878,27.860091,101.837335,38.693237
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0.7,5.792758,34.065668,4.4332,83.782773,26.5716,100.020953,32.346269
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0.7,6.417056,24.402297,3.7574,74.126155,25.222962,96.144636,25.644849
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0.7,4.931364,44.775776,6.36185,95.343972,27.667341,98.030499,38.53796
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0.7,5.422677,34.680804,4.68905,84.057832,26.135419,95.821717,32.202949
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0.7,5.854866,24.925506,4.08415,74.05755,24.341854,89.638944,25.47612
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0.7,6.086837,25.955497,4.93575,76.24076,24.89729,89.499603,26.811275
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0.7,7.482341,23.972596,3.59265,75.271141,26.98655,108.320015,26.422289
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0.7,8.971818,22.405067,3.2828,75.780246,29.296012,124.411964,25.913641
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0.7,5.735602,26.438212,5.9539,77.276037,24.297678,87.204311,26.655387
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0.7,6.769367,24.686658,3.93105,75.145766,25.802978,99.231081,26.24326
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0.7,7.905398,23.239051,3.47735,75.093681,27.536968,112.77271,25.68004
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0.7,5.318982,27.068261,5.93295,77.198752,23.8751,82.610684,26.532233
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0.7,6.168506,25.272188,4.0075,74.854016,24.921457,93.132002,26.095873
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0.7,7.057301,23.910684,3.53175,74.486097,26.207392,103.445149,25.488997
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0.7,5.343029,26.999378,6.02395,77.170767,24.086567,79.329583,26.811275
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0.7,6.202286,25.337359,3.8413,74.75151,25.188505,92.062358,26.422289
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0.7,7.209327,23.751324,3.68485,74.659222,26.696782,103.682781,25.913641
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0.7,4.981001,27.528962,6.26385,77.314635,23.730909,74.830208,26.655387
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0.7,5.683917,25.93925,4.1886,74.865264,24.44562,85.73105,26.24326
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0.7,6.415655,24.727624,3.5429,74.227603,25.444969,95.135626,25.68004
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0.7,4.714161,28.096657,6.18505,77.436934,23.527294,74.571847,26.532233
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0.7,5.214969,26.554687,4.15925,74.700369,23.933624,81.317638,26.095873
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0.7,5.790499,25.15396,3.7365,73.835202,24.499703,87.688589,25.488997
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0.7,4.931136,27.811714,6.0901,77.350308,23.879429,74.320372,26.811275
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0.7,5.588515,26.440534,3.9855,75.055767,24.545456,86.982421,26.422289
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0.7,6.30671,24.94026,3.66825,74.36498,25.510628,93.788546,25.913641
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0.7,4.633726,28.418331,6.1037,77.589196,23.676537,74.385648,26.655387
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0.7,5.147533,27.050426,4.4332,75.392565,24.036991,81.030205,26.24326
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0.7,5.655088,25.687943,3.7574,74.173833,24.569543,86.621152,25.68004
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0.7,4.373336,28.867988,6.36185,77.841076,23.548677,70.9351,26.532233
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0.7,4.816565,27.58995,4.68905,75.645577,23.699108,77.001611,26.095873
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0.7,5.134681,26.253235,4.08415,74.193765,23.92703,80.406073,25.488997
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.4,1.5,0.7,6.566531,22.144942,4.93575,73.075561,24.373165,90.367096,24.223059
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.6,1.5,0.7,8.353236,18.642736,3.59265,71.096181,26.716511,110.00316,22.55467
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.8,1.5,0.7,10.315664,15.713355,3.2828,70.940608,29.358369,127.154511,20.802437
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.4,1.5,0.7,6.182985,22.60423,5.9539,73.991301,23.632891,87.966965,24.09911
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.6,1.5,0.7,7.580448,19.286101,3.93105,70.810772,25.320965,100.662063,22.425001
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.8,1.5,0.7,9.132971,16.414654,3.47735,69.942264,27.303266,115.14474,20.635853
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.4,1.5,0.7,5.757014,23.129972,5.93295,73.817756,23.061684,83.243818,24.000854
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.6,1.5,0.7,6.928932,19.835266,4.0075,70.446678,24.212036,94.4266,22.316387
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.8,1.5,0.7,8.182742,17.019889,3.53175,69.077742,25.705268,105.588065,20.498435
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0.7,6.145289,22.628814,6.02395,73.942197,23.756678,84.301876,24.223059
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0.7,7.539753,19.346918,3.8413,70.712371,25.450801,99.713845,22.55467
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0.7,9.164114,16.329045,3.68485,70.057547,27.679541,114.170077,20.802437
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0.7,5.69492,23.138731,6.26385,73.969208,23.141481,79.429666,24.09911
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0.7,6.879377,19.953682,4.1886,70.652005,24.250728,92.903851,22.425001
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0.7,8.15315,17.221794,3.5429,69.242923,25.84959,105.066851,20.635853
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0.7,5.380488,23.699964,6.18505,74.015667,22.763843,78.771019,24.000854
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0.7,6.297029,20.495189,4.15925,70.25004,23.359832,87.847149,22.316387
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0.7,7.364937,17.617671,3.7365,68.579187,24.272575,96.903012,20.498435
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0.7,5.322212,23.70995,6.0901,73.75131,22.916159,74.410097,24.223059
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0.7,6.270711,20.703298,3.9855,70.220985,23.504335,87.481228,22.55467
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0.7,7.341953,17.782626,3.66825,68.577068,24.57298,94.712302,20.802437
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0.7,5.008522,24.263308,6.1037,73.896781,22.623602,74.451529,24.09911
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0.7,5.785718,21.224198,4.4332,70.361895,22.772927,81.480989,22.425001
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0.7,6.621166,18.362093,3.7574,68.13684,23.22833,87.362495,20.635853
